Insult,ID,Comment
1,1,"""You fuck your dad."""
0,2,"""i really don't understand your point.\xa0 It seems that you are mixing apples and oranges."""
0,3,"""A\\xc2\\xa0majority of Canadians can and has been wrong before now and will be again.\\n\\nUnless you're supportive of the idea that nothing is full proof or perfect so you take your chances and if we should inadvertently kill your son or daughter then them's the breaks and we can always regard you as collateral damage like in wartime - and sorry, but\\xc2\\xa0the cheques in the mail. """
0,4,"""listen if you dont wanna get married to a man or a women DONT DO IT. what would it bother you if gay people got married stay in your lane do you let them do them. And your god is so nice but quick to judg if your not like him, thought you wasnt suppose to judge people."""
0,5,"""C\xe1c b\u1ea1n xu\u1ed1ng \u0111\u01b0\u1eddng bi\u1ec3u t\xecnh 2011 c\xf3 \xf4n ho\xe0 kh\xf4ng ? \nC\xe1c ng\u01b0 d\xe2n ng\u1ed3i cu\xed \u0111\u1ea7u chi\u1ee5 nh\u1ee5c c\xf3 \xf4n ho\xe0 kh\xf4ng ?\nC\xe1c n\xf4ng d\xe2n gi\u1eef \u0111\u1ea5t \u1edf V\u0103n Giang, C\u1ea7n Th\u01a1 c\xf3 \xf4n ho\xe0 kh\xf4ng ?\n.................\nR\u1ed1t cu\u1ed9c \u0111\u01b0\u1ee3c g\xec\xa0 th\xec ch\xfang ta \u0111\xe3 bi\u1ebft !\nAi c\u0169ng y\xeau chu\u1ed9ng ho\xe0 b\xecnh, nh\u01b0ng \u0111\xf4i khi ho\xe0 b\xecnh ch\u1ec9 th\u1eadt s\u1ef1 \u0111\u1ebfn sau chi\u1ebfn tranh m\xe0 th\xf4i.\nKh\xf4ng c\xf2n con \u0111\u01b0\u1eddng n\xe0o ch\u1ecdn kh\xe1c \u0111\xe2u, \u0111\u1eebng m\u01a1 th\xeam n\u01b0\xe3."""
0,6,"""@SDL OK, but I would hope they'd sign him to a one-year contract to start with. Give him the chance to be reliable and productive, but give themselves the out if all his time off has hurt his playing skills or if he falls back into old habits."""
0,7,"""Yeah and where are you now?"""
1,8,"""shut the fuck up. you and the rest of your faggot friends should be burned at the stake"""
1,9,"""Either you are fake or extremely stupid...maybe both..."""
1,10,"""That you are an idiot who understands neither taxation nor women's health."""
0,11,"""@jdstorm dont wish him injury but it happened on its OWN and i DOUBT he's injured, he looked embarrassed to me"""
0,12,"""Be careful,Jimbo.OG has a fork with your name on it."""
0,13,"""@tonnyb  Or they just don't pay attention """
0,14,"""Hmmm. Perhaps some who are too pig-faced to get laid and therefore have zero chance of getting pregnant from such activity hold something against women who can?? IDK. Stream of consciousnees thought after looking at her. """
0,15,"""@barrettmarson Huh? Her income was $21,912. Her spending was $5,470. My math puts that at 24.9%."""
1,16,"""FOR SOME REASON U SOUND RETARDED. LOL. DAMN. WHERE U BEEN NEGRO"""
1,17,"""You with the 'racist' screen name\n\nYou are a PieceOfShit.........."""
0,18,"""Oh! & cheating as well...1966 cup was a cheat fest, & you still dare to post that comment..shame on you lol"""
1,19,"""your such a dickhead..."""
1,20,"""Your a retard go post your head up your #%&*"""
0,21,"""@EephusBlue\xa0Makes you want to say ""Mike MacWHOgal?"""""
0,22,"""http://www.youtube.com/watch?v=tLYLLPHKRU4"""
0,23,"""And you know they've burned holes in all the carpeting."""
0,24,"""you are a land creature. You would drown...."""
0,25,"""To all those doom-and-gloomers, the chicken-littles who claim the sky is falling and that society is collapsing...Canada has had gay marriage nationwide for years. Where is the disaster? Where is the collapse and the persecution you're shouting about? Where is it? Please, show us some examples because it's starting to look like your threats and fears and warnings are nothing but HOT AIR."""
0,26,"""Craig, we have been saying from the start that this is a very entertaining show.\xa0 It awakens the horny little Goth in me.\xa0 I met my boyfriend during the first season and one of the first thing we did was watch AHS at my house.\xa0 I know he likes me and all but to this day he is sure I am far creepier and kinkier than he could ever be.\xa0 Thanks, American Horror Story.\xa0 Sweet Clam loves you."""
0,27,"""Strange you are talking about that when there were Chelsea fans in here belittling the Community Shield"""
0,28,"""But how would you actually get the key out?"""
0,29,"""oh cool, some more internet points for your collection!"""
0,30,"""Even though I think there are better coaches out there, I am glad Del Negro is keeping his job.  I never thought he got enough credit those years when he took those average Chicago Bulls teams he coached to the playoffs 2 years in a row"""
0,31,"""russellpiano\xa0\nHmmmm...how can we spin Obama honoring Vietnam troops as something negative.Answer: Doesn't matter! Look at our followers. They'll take anything.\n\n_________________________________________________________________________________________\nObama team: \xa0""Hmmm, how can we make the liberal Messiah look better in light of the revelations of his leaking classified information to the New York Times?I know, lets have a bogus photo shoot at the Viet Nam Memorial. That will make Obama look like he cares about vets (but first we'll have to clear all the vets out of the immediate area because they can't be trusted)."""""
0,32,"""A good article, which, for all the good it will do, could have been delivered to a brick wall."""
